Date,VIX,V0_var,Vol_3M,Vol_1Y
1999-12-31,24.64,0.06071296,23.532544062567524,21.805175052215933
2000-01-03,24.21,0.058612410000000004,23.198304342246466,21.627601661608665
2000-01-04,27.01,0.07295401,25.392968308244786,22.81251044423125
2000-01-05,26.41,0.06974881,24.91926079149518,22.553097971642767
2000-01-06,25.73,0.06620329000000001,24.38453854382386,22.262620783182765
2000-01-07,21.72,0.04717583999999999,21.28664090655005,20.63400002336111
2000-01-10,21.71,0.047132410000000007,21.279054103645194,20.63013564594347
2000-01-11,22.5,0.050625,21.88077704615997,20.938626979547916
2000-01-12,22.84,0.052166559999999994,22.141164432337273,21.073352461977596
2000-01-13,21.71,0.047132410000000007,21.279054103645194,20.63013564594347
2000-01-14,19.66,0.03865156,19.741734820494976,19.861110216006185
2000-01-18,21.5,0.046224999999999995,21.119914978794256,20.549228592928557
2000-01-19,21.72,0.04717583999999999,21.28664090655005,20.63400002336111
2000-01-20,21.75,0.04730625,21.309406045174498,20.645599486219435
2000-01-21,20.82,0.043347239999999995,20.607093719592164,20.290506141222604
2000-01-24,24.07,0.05793649,23.089722970008193,21.5701507922939
2000-01-25,23.02,0.05299204,22.279346506474905,21.145142843879796
2000-01-26,23.03,0.05303809,22.287029863466394,21.14914054592608
2000-01-27,23.54,0.055413159999999996,22.67977703502663,21.354310931533423
2000-01-28,26.14,0.06832996000000001,24.70666406539369,22.4373058391534
2000-01-31,24.95,0.06225025,23.77418005722836,21.934221328044494
2000-02-01,23.45,0.05499024999999999,22.610342875115375,21.317922357201695
2000-02-02,23.12,0.053453440000000005,22.356210921926753,21.18516390813677
2000-02-03,22.01,0.04844401000000001,21.50699796139692,20.74652370960607
2000-02-04,21.54,0.04639715999999999,21.150199975200152,20.56460329670816
2000-02-07,22.79,0.05193841,22.102820651185294,21.053467523343546
2000-02-08,21.25,0.045156249999999995,20.9309287691486,20.453525591778785
2000-02-09,22.9,0.052440999999999995,22.187200095476516,21.09724708009668
2000-02-10,23.07,0.053222490000000004,22.31777015779893,21.165141150872337
2000-02-11,24.42,0.059633640000000016,23.36139987023783,21.71411437246841
2000-02-14,24.38,0.059438439999999995,23.330313593921073,21.697604820522578
2000-02-15,22.92,0.052532640000000005,22.202550897582952,21.105219858640474
